,min,max,Precision,Recall,Accuracy,f1_score,time
52,616.0,720.0,0.9960159362549801,1.0,0.998,0.998003992015968,38.11019311801647
53,628.0,728.0,0.9960159362549801,1.0,0.998,0.998003992015968,43.906415384990396
54,640.0,740.0,0.9960159362549801,1.0,0.998,0.998003992015968,47.01883222302422
55,646.0,748.0,0.9975062344139651,1.0,0.99875,0.9987515605493134,44.26968495800975
56,654.0,759.0,0.9955201592832255,1.0,0.99775,0.9977550511349463,40.73740016997908
57,660.0,770.0,0.9950248756218906,1.0,0.9975,0.9975062344139651,48.683889211999485
58,673.0,773.0,0.9975062344139651,1.0,0.99875,0.9987515605493134,52.414308937004535
59,682.0,790.0,0.998003992015968,1.0,0.999,0.9990009990009989,46.915550755977165
60,692.0,799.0,0.9975062344139651,1.0,0.99875,0.9987515605493134,46.14335668599233
61,703.0,805.0,0.9940357852882704,1.0,0.997,0.9970089730807578,44.836538765986916
62,718.0,819.0,0.998003992015968,1.0,0.999,0.9990009990009989,49.47699753000052
63,721.0,825.0,0.9985022466300549,1.0,0.99925,0.9992505620784412,48.485337841993896
64,733.0,840.0,0.9960159362549801,1.0,0.998,0.998003992015968,48.55876965299831
65,741.0,844.0,0.9975062344139651,1.0,0.99875,0.9987515605493134,48.49095210499945
66,750.0,856.0,0.9975062344139651,1.0,0.99875,0.9987515605493134,57.169991478003794
67,763.0,863.0,0.9965122072745392,1.0,0.99825,0.9982530571499876,60.24180512901512
68,771.0,875.0,0.9975062344139651,1.0,0.99875,0.9987515605493134,47.74479386600433
69,785.0,889.0,0.998003992015968,1.0,0.999,0.9990009990009989,44.69672074599657
70,792.0,894.0,0.9970089730807578,1.0,0.9985,0.9985022466300548,58.43072211599792
71,804.0,904.0,0.9985022466300549,1.0,0.99925,0.9992505620784412,56.10020976400119
72,814.0,915.0,0.9955201592832255,1.0,0.99775,0.9977550511349463,55.50520013901405
73,827.0,929.0,0.9965122072745392,1.0,0.99825,0.9982530571499876,55.1408560849959
74,831.0,938.0,0.9955201592832255,1.0,0.99775,0.9977550511349463,55.06480429699877
75,843.0,945.0,0.9950248756218906,1.0,0.9975,0.9975062344139651,55.33045382902492
76,854.0,958.0,0.9960159362549801,1.0,0.998,0.998003992015968,58.1067712130025
77,860.0,969.0,0.9930486593843099,1.0,0.9965,0.9965122072745392,57.60508805399877
78,873.0,973.0,0.9975062344139651,1.0,0.99875,0.9987515605493134,63.648935257981066
79,886.0,987.0,0.9960159362549801,1.0,0.998,0.998003992015968,49.80635696402169
80,891.0,993.0,0.9975062344139651,1.0,0.99875,0.9987515605493134,55.60835536400555
81,902.0,1002.0,0.9970089730807578,1.0,0.9985,0.9985022466300548,70.02901227099937
82,917.0,1020.0,0.9970089730807578,1.0,0.9985,0.9985022466300548,64.44869136298075
83,926.0,1026.0,0.9945300845350572,1.0,0.99725,0.9972575417601595,51.75839602999622
84,935.0,1035.0,0.9960159362549801,1.0,0.998,0.998003992015968,63.74788401499973
85,941.0,1046.0,0.9995002498750625,1.0,0.99975,0.9997500624843789,71.12410099199042
86,953.0,1059.0,0.9935419771485345,1.0,0.99675,0.99676052828308,73.76971560600214
87,960.0,1070.0,0.9970089730807578,1.0,0.9985,0.9985022466300548,64.56526007398497
88,973.0,1079.0,0.9965122072745392,1.0,0.99825,0.9982530571499876,55.17368990901741
89,980.0,1090.0,0.9960159362549801,1.0,0.998,0.998003992015968,70.28098789899377
90,995.0,1096.0,0.9955201592832255,1.0,0.99775,0.9977550511349463,77.77970529798768
91,1000.0,1105.0,0.9965122072745392,1.0,0.99825,0.9982530571499876,65.95302533399081
92,1012.0,1118.0,0.9970089730807578,1.0,0.9985,0.9985022466300548,60.77501419899636
93,1024.0,1126.0,0.9985022466300549,1.0,0.99925,0.9992505620784412,70.55369711798267
94,1034.0,1135.0,0.9950248756218906,1.0,0.9975,0.9975062344139651,75.7646227979858
95,1043.0,1147.0,0.9960159362549801,1.0,0.998,0.998003992015968,72.87728457699995
96,1057.0,1158.0,0.998003992015968,1.0,0.999,0.9990009990009989,60.48245417801081
97,1062.0,1165.0,0.998003992015968,1.0,0.999,0.9990009990009989,73.09829241698026
98,1075.0,1178.0,0.9955201592832255,1.0,0.99775,0.9977550511349463,83.57983684298233
